Track,Artist,Genre
Don't Sleep,Alice Ivy,|['australian electropop', 'australian hip hop', 'australian indie', 'australian pop']|
Panic,Annie Hamilton,['modern dream pop']
Toosie Slide,Drake,|['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']|
Love Song,Duke Dumont,|['dance pop', 'deep groove house', 'destroy techno', 'disco house', 'edm', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']|
Switchblade,NIKI,|['indie r&b', 'indonesian r&b', 'pop']|
Perfect,Sorry,|['chamber psych', 'english indie rock', 'modern alternative rock', 'uk post-punk revival']|
Handyman,Triple One,|['australian hip hop', 'australian trap', 'australian underground hip hop', 'dark trap', 'emo rap', 'underground hip hop']|
Chemicals,Jeida Woods,[]
Spring,Jesse Madigan,[]
Red Hot Moon,Pinkish Blu,['adelaide indie']
Nights We Waste,Yorke,['australian alternative pop']
OK,Wallows,|['indie pop', 'modern rock', 'pop', 'rock']|
Move,Baker Boy,|['australian hip hop', 'australian indigenous', 'australian pop']|
Time,Childish Gambino,|['atl hip hop', 'pop rap', 'rap']|
Soak Into This,Greta Stanley,['australian alternative pop']
Is Everybody Going Crazy?,Nothing But Thieves,|['alternative pop rock', 'modern alternative rock', 'modern rock', 'rock']|
XS,Rina Sawayama,|['art pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'pop']|
In Your Eyes,The Weeknd,|['canadian contemporary r&b', 'canadian pop', 'pop']|
T-Shirt,Bakers Eddy,|['australian garage punk', 'melbourne indie']|
Obvious,Cry Club,[]
Stone Cold,Deb Never,[]
This Could Be You,Mali Jo$e,[]
Cut The Rope,Ninajirachi,['aussietronica']
Running Red Lights (feat. Rivers Cuomo & Pink Siifu),The Avalanches,|['alternative dance', 'australian alternative rock', 'australian dance', 'big beat', 'collage pop', 'electronica', 'indietronica', 'new rave']|
Spark Up!,Ball Park Music,|['australian garage punk', 'australian indie', 'australian pop', 'brisbane indie']|
Freaks,FISHER,|['australian house', 'house']|
Take My Hand,Lastlings,|['indie electropop', 'vapor soul']|
Multiply,Love Fame Tragedy,['english indie rock']
SENSE AGAIN,Ocean Grove,|['australian metalcore', 'australian post-hardcore', 'nu-metalcore']|
Hopscotch,Nerve,|['aussie drill', 'australian hip hop', 'australian trap', 'australian underground hip hop']|
Bored,Stevie Jean,[]
Nicotine,Sycco,['australian alternative pop']
Bad Child,Tones And I,['australian pop']
The Difference,Flume,|['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'pop']|
Monsta,BENEE,|['nz pop', 'pop']|
German (Radio Edit),No Money Enterprise,['aussie drill']
Shimmy,Aminé,|['hip hop', 'pop rap', 'portland hip hop', 'rap']|
Sunflower,Dizzy,|['electropop', 'ontario indie']|
Fucked Myself Up,|merci, mercy|,[]
Boom,Ngaiire,|['australian electropop', 'australian pop']|
Something Comforting,Porter Robinson,|['big room', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton', 'progressive electro house']|
Rain,Aitch,['manchester hip hop']
Hard to Say (feat. I.E.),GRAACE,|['australian alternative pop', 'australian pop']|
